system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date,lat,lon,.geo
20231123T045111_20231123T045114_T45RVJ_2_49_0,4102,3783,1790,2290,2628,3468,0.36132140399174123,0.13779527,-0.20458493,0.2066759616173214,2023-11-23,25.308008774376134,86.16604545464368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.16604545464368,25.308008774376134]}"
20231123T045111_20231123T045114_T45RVK_2_29_0,3179,2319,2104,2306,2272,3574,2.281009110021023,0.22271639,-0.21564625,0.3340460104335927,2023-11-23,26.374804021765485,86.35098756900341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.35098756900341,26.374804021765485]}"
20231123T045111_20231123T045114_T45RVK_2_33_0,3028,2232,2246,2334,2200,3422,-13.76126126126126,0.21736038,-0.18902016,0.3260115606936416,2023-11-23,26.156488208495432,86.41653356233715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.41653356233715,26.156488208495432]}"
20231123T045111_20231123T045114_T45RWH_2_21_0,3401,2619,1987,2144,2152,3752,2.2695035460992905,0.2710027,-0.27272728,0.4064696417986282,2023-11-23,25.115300099257308,87.0191935082139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0191935082139,25.115300099257308]}"
20231123T045111_20231123T045114_T45RWJ_2_3_0,3769,2766,991,1548,1508,3424,0.9503025493502628,0.38848338,-0.37731296,0.5826659908768372,2023-11-23,26.205176723839898,87.64226357976696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64226357976696,26.205176723839898]}"
20231123T045111_20231123T045114_T45RWJ_2_37_0,3169,2038,1107,1636,1342,5708,1.9996335989740772,0.61929077,-0.55446625,0.9288702928870292,2023-11-23,25.94916546407544,87.3264548683133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.3264548683133,25.94916546407544]}"
20231123T045111_20231123T045114_T45RWK_2_3_0,3636,2736,1750,2028,1961,3370,1.7507455268389662,0.26430312,-0.2486106,0.3964175185219919,2023-11-23,26.205176723839898,87.64226357976696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64226357976696,26.205176723839898]}"
20231123T054139_20231123T054133_T43RDP_1_4_0,4395,3763,2202,2444,2732,3366,0.48859432799013564,0.103968516,-0.15869191,0.15593998524227268,2023-11-23,30.133414249723614,74.43204472102887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.43204472102887,30.133414249723614]}"
20231123T054139_20231123T054133_T43RDP_1_7_0,3612,3609,2626,2764,2846,3106,1.3319672131147542,0.043682795,-0.058262352,0.06551868962620748,2023-11-23,30.470432435669107,75.01109495890387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01109495890387,30.470432435669107]}"
20231123T054139_20231123T054133_T43RDP_1_10_0,2842,2694,2454,2498,2504,2554,-0.1513317191283293,0.00988533,-0.011084719,0.014826529603637444,2023-11-23,30.40355814698842,74.95768052503085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95768052503085,30.40355814698842]}"
20231123T054139_20231123T054133_T43RDP_1_12_0,2764,2360,1764,1862,1826,3762,3.2505036937541973,0.3464567,-0.33783785,0.5196385434374161,2023-11-23,30.20633041101837,74.87880214562907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87880214562907,30.20633041101837]}"
20231123T054139_20231123T054133_T43RDP_1_14_0,3146,2835,1810,2088,2104,3168,1.1992786293958522,0.20182094,-0.20547946,0.3027027027027027,2023-11-23,30.000514756929327,74.18055005741631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.18055005741631,30.000514756929327]}"
